"DATE","WEIGHT","TOE","POP","REC"
1995-02-07,30,"1//4820",116,FALSE
1995-08-02,28,"1//48203090",170,FALSE
1995-09-12,33,"1//48203090",270,FALSE
1995-09-28,34,"1//48203090",497,FALSE
1995-09-13,40,"1//48204060",270,FALSE
1995-09-28,33,"1//48204060",497,FALSE
1994-11-15,30,"1//482060",436,FALSE
1994-11-15,31,"1//482080",436,FALSE
1994-10-05,27,"1//4830",178,FALSE
1994-11-02,37,"1//4830",512,FALSE
1995-08-02,33,"1//48305070",170,FALSE
1995-09-12,34,"1//48305070",270,FALSE
1995-09-29,33,"1//48305070",497,FALSE
1994-10-05,21,"1//4840",178,FALSE
1994-11-02,26,"1//4840",512,FALSE
1995-10-27,53,"1//484060100",653,FALSE
1995-10-27,47,"1//48406070",653,FALSE
1995-11-24,41,"1//48406070",542,FALSE
1995-10-27,48,"1//48406080",653,FALSE
1994-11-15,25,"1//484090",436,FALSE
1994-12-13,31,"1//484090",332,FALSE
1995-01-12,24,"1//484090",196,FALSE
1995-02-08,24,"1//484090",116,FALSE
1995-03-02,30,"1//484090",147,FALSE
1994-10-05,18,"1//4850",178,FALSE
1994-11-02,25,"1//4850",512,FALSE
1994-11-17,24,"1//4850",436,FALSE
1994-12-15,26,"1//4850",332,FALSE
1995-01-10,25,"1//4850",196,FALSE
1995-02-09,26,"1//4850",116,FALSE
1994-10-05,24,"1//4880",178,FALSE
1994-10-22,31,"1//4880",211,FALSE
1994-11-15,29,"1//4880",436,FALSE
1994-12-13,37,"1//4880",332,FALSE
1994-10-05,25,"1//4890",178,FALSE
1994-06-28,27,"1//50100",30,FALSE
1994-06-28,32,"1//5080",30,FALSE
1994-10-06,21,"1//51070",178,FALSE
1994-11-15,24,"1//51070",436,FALSE
1994-04-12,37,"1//530",12,TRUE
1994-10-13,24,"1//530100",166,FALSE
1994-10-13,16,"1//54090",166,FALSE
1994-10-13,21,"1//55060",166,FALSE
1994-10-13,25,"1//55080",166,FALSE
1994-10-13,25,"1//55090",166,FALSE
1994-11-02,29,"1//55090",512,FALSE
1994-11-17,25,"1//55090",436,FALSE
1994-12-15,22,"1//55090",332,FALSE
1994-10-13,28,"1//61080",166,FALSE
1994-10-13,24,"1//620100",166,FALSE
1994-11-03,34,"1//620100",512,FALSE
1994-12-14,30,"1//620100",332,FALSE
1994-10-13,20,"1//62070",166,FALSE
1994-10-13,31,"1//62090",166,FALSE
1994-05-04,64,"1//630",28,TRUE
1994-10-21,21,"1//63090",211,FALSE
1994-10-21,33,"1//64070",211,FALSE
1994-11-09,34,"1//64070",361,FALSE
1994-10-22,17,"1//65060",211,FALSE
1994-10-22,42,"1//71070",211,FALSE
1994-10-25,23,"1//74060",211,FALSE
1994-11-17,27,"1//74060",436,FALSE
1994-10-25,33,"1//750100",211,FALSE
1994-10-25,19,"1//75080",211,FALSE
1994-05-05,51,"1//770",28,TRUE
1994-06-09,46,"1//8100",27,FALSE
1994-10-25,19,"1//810100",211,FALSE
1994-10-25,43,"1//81060",211,FALSE
1994-11-02,34,"1//84090",512,FALSE
1994-11-17,28,"1//84090",436,FALSE
2021-03-04,52,"10//15203090",43,FALSE
2019-10-01,23,"10//15206090",25,FALSE
2021-03-26,28,"10//15305070",26,FALSE
2017-09-29,30,"10//153080",68,FALSE
2019-10-29,29,"10//154070100",55,FALSE
2019-10-29,32,"10//154080100",55,FALSE
2019-12-01,41,"10//154080100",86,FALSE
2019-12-31,47,"10//154080100",101,FALSE
2020-01-29,44,"10//154080100",89,FALSE
2019-10-29,37,"10//155090100",55,FALSE
2019-11-29,46,"10//155090100",86,FALSE
2016-10-30,15,"10//1590",109,FALSE
2021-05-29,38,"10//16104090",8,FALSE
2019-10-29,32,"10//161060100",55,TRUE
2019-10-30,27,"10//16206080",55,FALSE
2019-11-29,32,"10//16206080",86,FALSE
2017-01-31,24,"10//1640",68,FALSE
2017-03-01,30,"10//1640",51,FALSE
2017-03-29,26,"10//1640",41,FALSE
2019-10-31,35,"10//16406080",55,FALSE
2019-11-29,49,"10//16406080",86,FALSE
2019-11-29,27,"10//16507090",86,FALSE
2019-12-31,31,"10//16507090",101,FALSE
2018-03-30,40,"10//17105060",39,FALSE
2019-11-29,52,"10//171080100",86,FALSE
